00:07:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:09  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:09  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:09  L -> UBX CFG,  Size   8,  'Config'
00:07:10  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:10  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:10  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:10  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:10  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:10  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:10  L -> UBX CFG,  Size   8,  'Config'
00:07:11  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:11  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:11  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:11  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:11  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:11  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:12  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:12  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:12  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:12  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:12  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:12  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:07:12  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:07:12  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:12  L -> UBX CFG,  Size   8,  'Config'
00:07:12  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:13  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:13  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:13  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:13  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:13  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:07:13  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:13  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:14  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:14  L -> UBX CFG,  Size   8,  'Config'
00:07:14  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:14  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:14  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:14  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:14  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:07:14  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:07:14  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:14  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:14  L -> UBX CFG,  Size   8,  'Config'
00:07:15  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:15  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:15  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
